Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
matrix_multiplication,1,simsmall,143684436,0.21,65664709,48.3,135952510,9253339919,6198231440,0.67,3943.67,2413,3284835622,50053,65551272,3.767889977,1
matrix_multiplication,2,simsmall,279763702,0.11,65929676,48.569,135743873,8216107470,6355125441,0.77,3519.53,2772,3159218070,33541,65901746,1.844048023,2.043271069
matrix_multiplication,4,simsmall,283327885,0.1,67158355,49.254,136349806,8644178877,6353835750,0.74,3702.91,1776,3177617055,10434,66861668,0.990931034,3.802373573
matrix_multiplication,8,simsmall,287638885,0.1,73962101,54.35,136084681,8914081040,6393717376,0.72,3806,1788,3218620109,10216,73898040,0.552178144,6.823685462
matrix_multiplication,16,simsmall,300239815,0.1,76271406,56.012,136169963,9009863892,6419540885,0.71,3854.19,1813,3230948014,40422,76265372,0.271103859,13.89832661
matrix_multiplication,1,simmedium,1108380077,0.11,979017805,45.089,2171303685,1.02E+11,49537972215,0.48,43568.64,31460,25711937276,444244,973332142,45.04323697,1
matrix_multiplication,2,simmedium,2182634829,0.06,1002769896,46.108,2174821189,1.23E+11,50630817823,0.41,52787.59,55910,27082800533,196565,998174765,26.6810081,1.688213459
matrix_multiplication,4,simmedium,2186768244,0.06,987164673,45.422,2173320576,1.14E+11,50623294044,0.44,48730.6,41593,26024801513,221736,980996362,11.80249596,3.816416217
matrix_multiplication,8,simmedium,2192260051,0.06,956529700,43.942,2176803695,1.35E+11,50631827915,0.38,57794.89,37778,27000760755,305777,951085624,6.10406208,7.379223274
matrix_multiplication,16,simmedium,2213698776,0.06,1033469187,47.423,2179270633,1.74E+11,50549310175,0.29,74756.05,39505,28010383116,390426,1027678768,3.401567936,13.24190427
matrix_multiplication,1,simlarge,8724487703,0.07,8688996740,49.408,17586048526,1.14E+12,3.96E+11,0.35,488435.97,475779,2.28E+11,6012665,8590630202,508.3508101,1
matrix_multiplication,2,simlarge,17306573370,0.04,8691600478,49.434,17582254596,1.27E+12,4.04E+11,0.32,546184.41,1855088,2.21E+11,1956034,8594605344,308.374876,1.648483225
matrix_multiplication,4,simlarge,17309918502,0.04,8692460342,49.322,17624028786,1.55E+12,4.04E+11,0.26,662842.73,1421425,2.21E+11,2155883,8592768085,160.0937951,3.175331123
matrix_multiplication,8,simlarge,17314139501,0.04,8675125193,49.197,17633469695,1.60E+12,4.04E+11,0.25,689347.28,1082155,2.25E+11,2926972,8574266735,84.10574102,6.044186804
matrix_multiplication,16,simlarge,17344832250,0.04,8692952917,49.304,17631255943,1.58E+12,4.04E+11,0.26,684300.42,855617,2.25E+11,2694231,8587431194,48.23778915,10.53843509
linked_list,1,simsmall,103601901,0.02,128583,31.395,409570,464840080,405165902,0.87,300.75,766,161608480,47979,50636,24.7072041,1
linked_list,2,simsmall,93372815,0.05,198679,57.361,346365,424009753,369273348,0.87,278.81,801,159691059,90538,90446,12.37777901,1.996093491
linked_list,4,simsmall,98813267,0.02,134420,29.787,451267,485421303,362834085,0.75,292.2,798,151780673,87699,81270,6.203269005,3.982932883
linked_list,8,simsmall,105562450,0.02,102295,34.338,297904,481387021,395495593,0.82,333.77,772,160242895,96114,70763,3.147779942,7.849088743
linked_list,16,simsmall,106420421,0.02,144860,44.275,327185,551488167,413938642,0.75,306.68,664,177601194,71960,86574,1.604545116,15.39826076
linked_list,1,simmedium,94160806,0.04,171632,46.852,366330,693067281,510507027,0.74,486.22,734,194097559,167179,132109,51.30895305,1
linked_list,2,simmedium,93857991,0.04,165141,39.594,417090,485014146,404371425,0.83,352.84,797,167654757,129812,119421,25.6853621,1.997595083
linked_list,4,simmedium,75322059,0.07,225636,61.807,365066,859701642,550458255,0.64,485.88,790,192669495,185972,190903,12.86337709,3.988762257
linked_list,8,simmedium,98729102,0.03,151951,43.328,350696,739745228,465108761,0.63,466.67,813,191669946,190174,132203,6.459619045,7.943030802
linked_list,16,simmedium,97613624,0.04,137570,35.293,389792,594514802,478748446,0.81,401.39,781,181476803,178744,137997,3.281539917,15.63563277
linked_list,1,simlarge,135341724,0.04,377830,52.444,720444,1433235702,572125764,0.4,713.41,736,236314775,206996,237609,101.7179959,1
